fold_id,cv_tag,html_id,sent_id,text,tag
6,cv672,28083,28,it not only has an odd way for the characters to break into song but -- some males even sing in a female voice while some females sing in a male voice .,pos
6,cv672,28083,29,it is also interesting in the way it examines its characters' behavior as being similar in business as in love .,pos
6,cv673,24714,0,"in 1987 the stock market crashed , and oliver stone's wall street was released to critical acclaim and packed movie houses .",pos
6,cv673,24714,1,"wall street lucked out in its timing ; the recent crash gave the film a resonation it might not of had , and though its kill-or-be-killed approach to business was exaggerated , that very ideology was keyed into the mind set of the quintessential reagan-era businessman .",pos
6,cv673,24714,2,stone constructed his film as a mythical good vs . evil tale relayed in the fast-paced milieu of the burgeoning stock exchange .,pos
6,cv673,24714,3,"critics and audiences lauded wall street , elevating its status to that of a contemporary classic .",pos
6,cv673,24714,4,i'm proud to say that i will never be counted as one of them .,pos
6,cv673,24714,5,"i found wall street to be just as axiomatic and pandering as the majority of stone's output with its thin caricatures , obvious sentiments , and a charisma barren performance by the young charlie sheen .",pos
6,cv673,24714,6,stone goes for broke in every scene ( the same could be said for nearly all of his works ) .,pos
6,cv673,24714,7,this approach tends to bury his purported message beneath a heap of good intentions .,pos
6,cv673,24714,8,he directs stock exchange scenes in typical hyperbolic mode with people shouting into phones as if they were in a plummeting airplane .,pos
6,cv673,24714,9,"it's all an excuse for stone to ratchet up the emotion with false intensity , rather than explore what these situations are really like .",pos
6,cv673,24714,10,i have a feeling the brokers would be psychologically manipulative ( as they are presented in boiler room ) rather than laughably over the top .,pos
6,cv673,24714,11,"these guys are salesmen after all , not televised judges .",pos
6,cv673,24714,12,more than anything i am baffled by why so many adore wall street .,pos
6,cv673,24714,13,the only possible solution i can muster is its release date .,pos
6,cv673,24714,14,"and not just the timeliness of the "" greed is good "" subject matter : the film was plumped down in the eighties , a decade in which the one-joke comedy rose to an art form , and a group of glamorous brat packers smirked their way through inane high concept , low result movies .",pos
6,cv673,24714,15,"in my mind , the eighties will forever be remembered as a decade with not only a proliferation of bad movies , but bad music , bad hair , and bad clothes .",pos
6,cv673,24714,16,maybe stone's after school special set in wall street was viewed as a welcome change of pace .,pos
6,cv673,24714,17,boiler room is an equally well-timed film with some similarities to stone's piece of crap .,pos
6,cv673,24714,18,"they both feature a consequential father-son relationship , though boiler room's is much more subtle and touching .",pos
6,cv673,24714,19,"and they are both concerned with the power of greed , yet the men in boiler room are akin to poseurs presuming to be big shots rather than the slippery-smooth , heartless gordon gecko figures of wall street .",pos
6,cv673,24714,20,"boiler room is a message movie as well , though ( at least until the end ) doesn't shove it in our faces .",pos
6,cv673,24714,21,boiler room is about the pursuit of cash and the degrees to which people will go for that cash .,pos
6,cv673,24714,22,"as i said , this film is indeed timely in a society where who wants to be a millionaire is the number one prime time show every day ( bringing about a revolution of prime time tv watching that hasn't been seen in quite a while ) ; not only do we want to be millionaires , we want to watch other people become millionaires !",pos
6,cv673,24714,23,"in our super-judgmental , power-oriented culture the desire for money supersedes everything ; when you have money , you have it "" all "" .",pos
6,cv673,24714,24,"and seth ( giovanni ribisi ) wants it "" all "" the easy way .",pos
6,cv673,24714,25,he's a well-intentioned college drop out who gets lured into working for an illegally run brokerage firm ( the kind that sells junk stock ) whereupon he meets others just like him .,pos
6,cv673,24714,26,"ben affleck is cast as jim , the company headhunter , who struts in commanding the room like a frat boy gordon gecko .",pos
6,cv673,24714,27,his job is to influence trainee's into becoming enthusiastic employees by giving a speech that subtly attacks their man hood .,pos
6,cv673,24714,28,it's ironic that he sells these pups the same load of b . s that they're told to dish out to prospective buyers .,pos
6,cv673,24714,29,"affleck's character is obviously supposed to recall alec baldwin's similar character in glengary glen ross , and that proves detrimental to the actor's performance .",pos
6,cv673,24714,30,"affleck shouts , curses and be-littles his rookie employees just like baldwin , minus the edge .",pos
6,cv673,24714,31,"when alec played the scene he became the part , spewing those brutal lines as if they were his own .",pos
6,cv673,24714,32,by comparison affleck simply looks as if he were doing a really hammy line reading .,pos
